HU_ID,Titulo,Sprint,Developer,QA,Commit_Impl,Commit_Test,Source_Files,Test_Files,Test_Count,Coverage,OWASP_Categories,Security_Controls
HU-01,Core FHE Encryption (CKKS),1,Tipo,Maria Eugenia Cáceres,feat(HU-01): implement core FHE encryption layer with CKKS scheme,test(HU-01): add unit tests for CKKS encryption wrapper,"sdk/encryption/ckks_wrapper.py, sdk/encryption/context_manager.py, sdk/encryption/__init__.py",tests/test_encryption.py,45,97%,A04,"CKKS 128/192/256-bit, TenSEAL parameters validation"
HU-02,FHE ML Models (4 algorithms),1,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-02): implement 4 FHE-compatible ML models,test(HU-02): add unit tests for all FHE ML models,"sdk/models/linear_regression.py, sdk/models/logistic_regression.py, sdk/models/decision_tree.py, sdk/models/kmeans.py",tests/test_models.py,62,95%,A04,"Polynomial approximations for FHE, no plaintext leakage"
HU-03,Blockchain & Smart Contracts,1,Tipo,Maria Eugenia Cáceres,feat(HU-03): implement blockchain integration and smart contracts,test(HU-03): add unit tests for smart contract interactions,"contracts/ConsortiumGovernance.sol, contracts/ModelRegistry.sol, contracts/ComputationVerifier.sol, sdk/blockchain/",tests/test_blockchain.py,38,92%,A08,"Immutable audit trail, on-chain verification"
HU-04,SDK CLI & API Layer,1,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-04): implement SDK CLI and API client layer,test(HU-04): add unit tests for CLI commands and API client,"sdk/cli/, sdk/utils/",tests/test_cli.py,35,90%,"A05, A06","Input validation, sanitized CLI arguments"
HU-05,React Dashboard Core,2,Tipo,Maria Eugenia Cáceres,feat(HU-05): implement React dashboard with auth and core pages,test(HU-05): add unit tests for dashboard components and auth flow,"dashboard/src/pages/, dashboard/src/components/, dashboard/src/context/","dashboard/src/**/*.test.jsx",28,88%,"A01, A07","JWT token handling, protected routes"
HU-06,Dashboard Feature Pages,2,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-06): implement dashboard feature pages,test(HU-06): add unit tests for feature page components,"dashboard/src/pages/governance/, dashboard/src/pages/compliance/, dashboard/src/pages/marketplace/","dashboard/src/pages/**/*.test.jsx",22,85%,"A01, A06","Role-based UI, data validation"
HU-07,Landing Pages (Verticals),2,Tipo,Maria Eugenia Cáceres,feat(HU-07): implement vertical landing pages with i18n,test(HU-07): add unit tests for landing pages and i18n,"dashboard/src/pages/verticals/, dashboard/src/i18n/","dashboard/src/pages/verticals/**/*.test.jsx",18,82%,,"i18n sanitization, Web3Forms CSRF"
HU-08,Django Core & Auth (JWT),3,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-08): implement Django backend with JWT auth and service layer,test(HU-08): add unit tests for auth views and core services,"apps/core/models.py, apps/core/views.py, apps/core/authentication.py, apps/core/services/, apps/core/permissions.py, apps/core/exceptions.py, config/settings.py","tests/test_coverage_95.py, tests/test_coverage_modules.py",282,95%,"A01, A02, A04, A05, A06, A07, A09, A10","JWT rotation+blacklist, django-axes, rate limiting, HSTS, RFC 7807, AuditService, ServiceResult pattern"
HU-09,Consortiums & Governance,3,Tipo,Maria Eugenia Cáceres,feat(HU-09): implement consortium management and governance,test(HU-09): add unit tests for consortium services and views,"apps/consortiums/models.py, apps/consortiums/views.py, apps/consortiums/services/, apps/governance/","tests/test_consortium_services.py, tests/test_views_extended.py",120,97%,"A01, A06, A08, A09","Multi-tenancy, proposal quorum, blockchain audit, member permissions"
HU-10,"Compliance, Marketplace, Sandbox",3,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-10): implement compliance marketplace and sandbox apps,test(HU-10): add unit tests for compliance marketplace and sandbox,"apps/compliance/, apps/marketplace/, apps/sandbox/","tests/test_views_extended.py",45,89%,"A01, A05, A06","Regulatory checks, input validation, sandbox isolation"
HU-11,SDK Route Tests (Legacy),3,Tipo,Maria Eugenia Cáceres,feat(HU-11): complete SDK legacy API route tests,test(HU-11): add comprehensive SDK route tests for legacy FastAPI,"sdk/tests/, tests/","sdk/tests/test_routes*.py",620,90%,A05,"API contract validation, edge case testing"
HU-12,Federated Learning & ML Models,4,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-12): implement federated learning and ML model management,test(HU-12): add unit tests for federated inference and model lifecycle,"apps/federated/, apps/models/","tests/test_models_views.py, tests/integration/test_e2e_flows.py",129,96%,"A01, A04, A06","Encrypted inference, model versioning, sharing permissions"
HU-13,"Data Quality, Explainability, Ensemble",4,Tipo,Maria Eugenia Cáceres,feat(HU-13): implement data quality explainability and ensemble apps,test(HU-13): add unit tests for data quality explainability and ensemble,"apps/data_quality/, apps/explainability/, apps/ensemble/","tests/test_views_extended.py, tests/test_coverage_95.py",85,92%,"A05, A06, A10","Quality scoring validation, SHAP sanitization, ensemble error handling"
HU-14,Blockchain Backend & Secrets,4,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-14): implement blockchain backend services with Vault secrets,test(HU-14): add unit tests for blockchain services and Vault integration,"apps/blockchain/services.py, apps/blockchain/secrets.py, apps/blockchain/resilience.py","tests/test_blockchain_services_views.py, tests/test_coverage_modules.py",67,87%,"A04, A08, A10","Vault/OpenBao secrets, retry+circuit breaker, tx verification"
HU-15,SDK Advanced Models (NN RF GBM),4,Tipo,Maria Eugenia Cáceres,feat(HU-15): implement advanced ML models in SDK,test(HU-15): add unit tests for advanced ML models,"sdk/models/neural_network.py, sdk/models/random_forest.py, sdk/models/gradient_boosting.py, sdk/models/svm.py, sdk/models/time_series.py","sdk/tests/test_models_advanced.py",48,91%,A04,"FHE-safe approximations, numerical stability"
HU-16,Docker & Deployment,5,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-16): implement Docker containerization and deployment config,test(HU-16): add deployment verification tests,"Dockerfile, docker-compose.yml, docker-entrypoint.sh, backend_django/apps/core/healthchecks.py","tests/test_coverage_95.py (healthchecks)",15,91%,"A02, A03, A08, A09","Multi-stage build, health checks, no dev tools in prod"
HU-17,CI/CD Pipelines (GH+GL),5,Tipo,Maria Eugenia Cáceres,feat(HU-17): implement CI/CD pipelines for GitHub Actions and GitLab CI,test(HU-17): add CI pipeline verification tests,".github/workflows/ci.yml, .gitlab-ci.yml, .github/workflows/codeql.yml",,19,,"A02, A03, A08","pip-audit, Trivy, Grype, CodeQL, coverage threshold 90%"
HU-18,Security Hardening,5,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-18): implement security hardening measures,test(HU-18): add security hardening tests,"config/settings.py, apps/core/authentication.py, apps/core/permissions.py","tests/test_coverage_95.py, tests/test_coverage_modules.py",35,95%,"A01, A02, A03, A07, A09","HSTS, CORS whitelist, django-axes, rate limiting, bug fixes"
HU-19,Test Coverage 95%+,6,Tipo,Maria Eugenia Cáceres,feat(HU-19): achieve 95%+ test coverage across all Django apps,test(HU-19): add comprehensive tests to reach 95% coverage threshold,"apps/*/","tests/test_coverage_95.py, tests/test_coverage_modules.py, tests/test_consortium_services.py",179,95.12%,,"Coverage threshold CI enforcement, edge case coverage"
HU-20,E2E Tests & Documentation,6,Fernando Boiero,Maria Eugenia Cáceres,feat(HU-20): implement E2E integration tests and project documentation,test(HU-20): add E2E flow tests and verify documentation,"tests/integration/, docs/","tests/integration/test_e2e_flows.py",5,95.12%,,"Cross-app workflow validation, full lifecycle tests"
